TransactionAmount,TransactionTime,TransactionType,MerchantCategory,TransactionLocation,DeviceType,TransactionFrequency,SpendingPattern,CardPresent,PastFraudHistory,Velocity,DistanceFromLast,AmountRatio,AccountAge,IsFraud
46.93,11.0,POS,Travel,Local,Desktop,13.0,Medium,Yes,0.0,4.0,1595.7,2.3,32.0,0
301.01,21.0,Online,Travel,International,Desktop,17.0,Medium,No,0.0,3.0,2599.2,6.03,152.0,0
131.67,3.0,POS,Groceries,Local,Mobile,14.0,Medium,Yes,0.0,5.0,399.6,0.7,59.0,0
91.29,17.0,Online,Electronics,Domestic,Mobile,14.0,Low,Yes,0.0,2.0,2426.1,3.52,146.0,0
16.96,15.0,POS,Groceries,Domestic,Tablet,1.0,Medium,Yes,0.0,5.0,4622.9,0.13,224.0,0
16.96,7.0,Online,Groceries,Local,Mobile,1.0,Medium,No,1.0,5.0,3426.7,0.18,117.0,0
5.98,3.0,Online,Electronics,Local,Desktop,3.0,Low,No,0.0,5.0,3911.3,0.06,92.0,0
201.12,22.0,POS,Groceries,Local,Desktop,15.0,High,No,0.0,1.0,2902.1,2.18,203.0,0
91.91,11.0,Online,Clothing,Domestic,Mobile,5.0,Medium,No,0.0,4.0,4481.8,2.86,200.0,0
123.13,1.0,POS,Travel,Local,Tablet,5.0,Medium,Yes,0.0,3.0,734.3,2.93,193.0,0
2.08,3.0,POS,Others,Local,Tablet,4.0,Medium,No,0.0,2.0,2248.9,0.07,118.0,0
350.36,4.0,POS,Travel,Local,Mobile,14.0,Medium,Yes,0.0,3.0,2985.2,11.8,130.0,0
178.64,2.0,POS,Groceries,Local,Desktop,7.0,Low,Yes,0.0,1.0,4367.4,5.04,149.0,0
23.87,8.0,POS,Electronics,Domestic,Mobile,15.0,Medium,Yes,0.0,2.0,1540.1,0.16,124.0,0
20.07,20.0,ATM,Groceries,International,Desktop,11.0,Low,Yes,0.0,1.0,5.6,0.49,116.0,0
20.26,17.0,POS,Electronics,Local,Desktop,14.0,High,No,0.0,3.0,4872.1,0.3,211.0,0
36.28,10.0,POS,Groceries,Local,Mobile,6.0,Low,Yes,0.0,2.0,129.9,0.26,170.0,0
74.39,2.0,POS,Groceries,Domestic,Mobile,10.0,Low,Yes,0.0,3.0,761.8,1.85,222.0,0
56.55,22.0,Online,Clothing,Local,Desktop,7.0,High,Yes,0.0,4.0,2110.2,0.31,127.0,0
34.42,1.0,Online,Travel,International,Mobile,10.0,Low,Yes,1.0,1.0,2481.8,0.32,104.0,0
94.64,8.0,Online,Travel,Local,Mobile,14.0,Low,Yes,0.0,4.0,4172.3,0.49,153.0,0
15.02,13.0,Online,Electronics,Local,POS_Terminal,5.0,High,No,0.0,4.0,2239.1,0.27,53.0,0
34.55,3.0,ATM,Clothing,International,Mobile,1.0,Low,Yes,0.0,3.0,2737.1,1.35,137.0,0
45.63,8.0,ATM,Clothing,Local,Desktop,19.0,Low,No,0.0,3.0,1000.0,0.36,170.0,0
60.89,12.0,Online,Clothing,Local,Mobile,8.0,Low,Yes,0.0,5.0,2845.8,0.77,28.0,0
153.79,17.0,POS,Groceries,Local,Tablet,19.0,High,Yes,0.0,5.0,1741.9,1.25,165.0,0
22.27,14.0,Online,Travel,International,Mobile,17.0,Low,Yes,0.0,2.0,493.7,0.21,61.0,0
72.2,9.0,Online,Clothing,Domestic,Mobile,19.0,Medium,Yes,0.0,3.0,4732.3,0.71,59.0,0
89.75,15.0,Online,Groceries,Local,Desktop,16.0,Low,Yes,1.0,1.0,408.4,0.52,160.0,0
4.76,11.0,Online,Groceries,Domestic,Tablet,4.0,Low,Yes,0.0,3.0,3389.4,0.09,169.0,0
93.53,19.0,Online,Groceries,Local,Tablet,8.0,Low,Yes,0.0,3.0,4541.0,0.85,75.0,0
